date_time,median
2015-03-15,3.0
2015-03-16,2.0
2015-03-17,2.0
2015-03-18,2.0
2015-03-19,2.0
2015-03-20,2.0
2015-03-21,4.0
2015-03-22,7.0
2015-03-23,5.0
2015-03-24,5.0
2015-03-25,7.0
2015-03-26,9.0
2015-03-27,17.0
2015-03-28,18.0
2015-03-29,16.0
2015-03-30,16.0
2015-03-31,4.0
2015-04-01,2.0
2015-04-02,2.0
2015-04-03,3.0
2015-04-04,6.0
2015-04-05,6.0
2015-04-06,9.0
2015-04-07,8.5
2015-04-08,9.0
2015-04-09,13.0
2015-04-10,13.0
2015-04-11,4.0
2015-04-12,5.0
2015-04-13,6.0
2015-04-14,9.0
2015-04-15,15.0
2015-04-16,19.0
2015-04-17,17.0
2015-04-18,14.5
2015-04-19,16.0
2015-04-20,15.0
2015-04-21,9.0
2015-04-22,13.0
2015-04-23,12.0
2015-04-24,21.0
2015-04-25,23.0
2015-04-26,19.0
2015-04-27,14.0
2015-04-28,13.0
2015-04-29,20.0
2015-04-30,19.0
2015-05-01,23.0
2015-05-02,26.0
2015-05-03,23.0
2015-05-04,15.0
2015-05-05,18.0
2015-05-06,19.5
2015-05-07,26.0
2015-05-08,24.0
2015-05-09,27.0
2015-05-10,31.0
2015-05-11,31.0
2015-05-12,29.0
2015-05-13,35.0
2015-05-14,32.5
2015-05-15,27.0
2015-05-16,22.5
2015-05-17,13.0
2015-05-18,9.0
2015-05-19,15.0
2015-05-20,8.0
2015-05-21,5.0
2015-05-22,3.0
2015-05-23,3.0
2015-05-24,2.0
2015-05-25,1.0
2015-05-26,1.0
2015-05-27,1.0
2015-05-28,1.0
2015-05-29,1.0
2015-05-30,2.0
2015-05-31,6.0
2015-06-01,18.0
2015-06-02,24.0
2015-06-03,51.0
2015-06-04,59.0
2015-06-05,51.0
2015-06-06,27.0
2015-06-07,24.0
2015-06-08,28.0
2015-06-09,41.0
2015-06-10,44.0
2015-06-11,56.0
2015-06-12,40.5
2015-06-13,39.5
2015-06-14,41.0
2015-06-15,48.0
2015-06-16,48.0
2015-06-17,36.0
2015-06-18,29.0
2015-06-19,39.0
2015-06-20,40.0
2015-06-21,47.0
2015-06-22,28.0
2015-06-23,24.0
2015-06-24,25.0
2015-06-25,26.0
2015-06-26,32.0
2015-06-27,56.0
2015-06-28,47.5
2015-06-29,49.0
2015-06-30,63.0
2015-07-01,63.0
2015-07-02,62.5
2015-07-03,25.0
2015-07-04,18.0
2015-07-05,20.0
2015-07-06,16.0
2015-07-07,25.5
2015-07-08,34.0
2015-07-09,43.0
2015-07-10,27.5
2015-07-11,29.0
2015-07-12,32.0
2015-07-13,24.0
2015-07-14,29.5
2015-07-15,33.0
2015-07-16,51.0
2015-07-17,58.0
2015-07-18,98.0
2015-07-19,65.0
2015-07-20,28.5
2015-07-21,30.0
2015-07-22,36.0
2015-07-23,46.0
2015-07-24,47.0
2015-07-25,38.0
2015-07-26,35.0
2015-07-27,28.0
2015-07-28,36.0
2015-07-29,43.0
2015-07-30,42.0
2015-07-31,55.0
2015-08-01,58.0
2015-08-02,45.0
2015-08-03,39.0
2015-08-04,34.0
2015-08-05,40.0
2015-08-06,50.0
2015-08-07,72.0
2015-08-08,58.0
2015-08-09,40.0
2015-08-10,49.0
2015-08-11,80.0
2015-08-12,105.5
2015-08-13,57.0
2015-08-14,37.0
2015-08-15,36.0
2015-08-16,37.0
2015-08-17,48.0
2015-08-18,56.0
2015-08-19,68.0
2015-08-20,69.0
2015-08-21,89.0
2015-08-22,120.0
2015-08-23,136.0
2015-08-24,143.5
2015-08-25,104.0
2015-08-26,113.0
2015-08-27,40.0
2015-08-28,28.0
2015-08-29,38.0
2015-08-30,41.0
2015-08-31,43.5
2015-09-01,30.0
2015-09-02,24.0
2015-09-03,23.0
2015-09-04,28.0
2015-09-05,38.0
2015-09-06,47.0
2015-09-07,43.0
2015-09-08,42.0
2015-09-09,39.0
2015-09-10,39.0
2015-09-11,41.0
2015-09-12,42.0
2015-09-13,37.0
2015-09-14,27.0
2015-09-15,26.5
2015-09-16,29.0
2015-09-17,41.0
2015-09-18,45.5
2015-09-19,42.5
2015-09-20,51.0
2015-09-21,34.5
2015-09-22,28.0
2015-09-23,50.0
2015-09-24,86.0
2015-09-25,103.0
2015-09-26,93.5
2015-09-27,92.0
2015-09-28,108.0
2015-09-29,90.0
2015-09-30,97.0
2015-10-01,110.0
2015-10-02,16.0
2015-10-03,18.0
2015-10-04,16.0
2015-10-05,18.0
2015-10-06,10.0
2015-10-07,13.0
2015-10-08,24.5
2015-10-09,48.0
2015-10-10,64.0
2015-10-11,77.0
2015-10-12,52.0
2015-10-13,43.0
2015-10-14,42.0
2015-10-15,48.0
2015-10-16,23.0
2015-10-17,35.0
2015-10-18,40.0
2015-10-19,52.0
2015-10-20,63.0
2015-10-21,127.0
2015-10-22,80.0
2015-10-23,19.0
2015-10-24,11.0
2015-10-25,8.5
2015-10-26,4.0
2015-10-27,6.0
2015-10-28,6.5
2015-10-29,6.0
2015-10-30,8.0
2015-10-31,9.5
2015-11-01,9.0
2015-11-02,7.5
2015-11-03,9.0
2015-11-04,16.5
2015-11-05,22.0
2015-11-06,32.0
2015-11-07,34.0
2015-11-08,35.0
2015-11-09,29.0
2015-11-10,25.0
