Date,Product Page Views,App Units (dls),Avg. Daily Rank
4/1/2015,113952,7280,
4/2/2015,102062,5942,
4/3/2015,60247,4607,
4/4/2015,47648,4609,
4/5/2015,54741,5877,
4/6/2015,39051,3860,
4/7/2015,31833,2832,
4/8/2015,27865,2430,
4/9/2015,24430,2406,
4/10/2015,44360,4466,
4/11/2015,56300,4538,
4/12/2015,54197,4104,
4/13/2015,31557,2201,
4/14/2015,20797,1576,
4/15/2015,15303,1254,
4/16/2015,15424,1443,
4/17/2015,18596,1808,
4/18/2015,21205,2138,
4/19/2015,25785,2775,
4/20/2015,26516,2708,
4/21/2015,21610,1725,
4/22/2015,18805,1661,
4/23/2015,18895,1538,
4/24/2015,13279,1194,
4/25/2015,18526,1938,
4/26/2015,19394,1958,
4/27/2015,16924,1443,
4/28/2015,13876,1020,
4/29/2015,12645,1160,
4/30/2015,11805,930,
5/1/2015,10805,925,
5/2/2015,14010,1396,
5/3/2015,15975,1529,
5/4/2015,16282,1411,
5/5/2015,12167,989,
5/6/2015,11159,874,
5/7/2015,10095,797,
5/8/2015,12634,1025,
5/9/2015,14370,1206,
5/10/2015,14579,1291,
5/11/2015,13166,1141,
5/12/2015,12037,1037,
5/13/2015,9292,794,
5/14/2015,10868,862,
5/15/2015,16677,1338,
5/16/2015,22438,1714,
5/17/2015,34795,2634,
5/18/2015,29823,1967,
5/19/2015,14554,766,
5/20/2015,28062,3505,
5/21/2015,37426,3344,
5/22/2015,53739,4975,
5/23/2015,54716,5461,
5/24/2015,111954,13498,
5/25/2015,124282,9630,
5/26/2015,115266,9217,
5/27/2015,105181,8000,
5/28/2015,90119,6357,
5/29/2015,81537,5811,
5/30/2015,60850,2346,
5/31/2015,30401,1549,
6/1/2015,12866,804,
6/2/2015,10978,612,
6/3/2015,8258,537,
6/4/2015,9217,622,
6/5/2015,13970,1109,
6/6/2015,17616,1396,
6/7/2015,10758,1277,
6/8/2015,5319,804,
6/9/2015,10092,661,
6/10/2015,9697,578,
6/11/2015,10084,537,
6/12/2015,17310,587,
6/13/2015,16700,721,
6/14/2015,17476,745,
6/15/2015,15374,602,
6/16/2015,15637,738,
6/17/2015,17453,803,
6/18/2015,17806,838,
6/19/2015,16061,691,
6/20/2015,14482,579,
6/21/2015,20872,887,
6/22/2015,19889,1054,
6/23/2015,18509,827,
6/24/2015,18774,860,
6/25/2015,17365,883,
6/26/2015,13042,716,
6/27/2015,12180,691,
6/28/2015,14077,802,
6/29/2015,11742,559,
6/30/2015,11034,514,
7/1/2015,12976,643,
7/2/2015,20444,1482,
7/3/2015,29517,2341,
7/4/2015,27617,2209,
7/5/2015,31684,2724,
7/6/2015,19261,1154,
7/7/2015,14661,964,
7/8/2015,13739,882,
7/9/2015,14949,1269,
7/10/2015,11572,1039,
7/11/2015,12082,1016,
7/12/2015,12288,1063,
7/13/2015,13950,1157,
7/14/2015,13869,1047,
7/15/2015,10857,770,
7/16/2015,10972,580,
7/17/2015,9719,561,
7/18/2015,9348,766,
7/19/2015,15674,1784,
7/20/2015,16207,1292,
7/21/2015,15937,1100,
7/22/2015,14254,987,
7/23/2015,12690,654,
7/24/2015,23743,1013,
7/25/2015,24360,1119,
7/26/2015,25514,1158,
7/27/2015,24021,833,
7/28/2015,22158,784,
7/29/2015,20533,730,
7/30/2015,17875,571,
7/31/2015,9595,511,
8/1/2015,11004,698,
8/2/2015,13562,915,
8/3/2015,12962,742,
8/4/2015,15012,955,
8/5/2015,10727,568,
8/6/2015,9930,588,
8/7/2015,7061,459,
8/8/2015,12598,993,
8/9/2015,10253,674,
8/10/2015,7069,396,
8/11/2015,4546,247,
8/12/2015,6968,499,
8/13/2015,11517,695,
8/14/2015,19763,805,
8/15/2015,21481,1002,
8/16/2015,20518,844,
8/17/2015,15381,434,
8/18/2015,14586,425,
8/19/2015,16328,471,
8/20/2015,16943,409,
8/21/2015,7577,237,
8/22/2015,6268,201,
8/23/2015,10695,239,
8/24/2015,63876,330,
8/25/2015,26171,261,
8/26/2015,10132,206,
8/27/2015,158588,1186,
8/28/2015,199425,997,
8/29/2015,31957,915,
8/30/2015,50663,920,
8/31/2015,95564,685,
9/1/2015,47345,915,
9/2/2015,282504,1035,
9/3/2015,198266,814,
9/4/2015,205013,705,
9/5/2015,122314,709,
9/6/2015,134907,846,
9/7/2015,127594,964,
9/8/2015,169465,800,
9/9/2015,65131,558,
9/10/2015,223420,588,
9/11/2015,72770,462,
9/12/2015,257059,846,
9/13/2015,204682,1075,
9/14/2015,184230,1100,
9/15/2015,72509,681,
9/16/2015,68586,649,
9/17/2015,38560,524,
9/18/2015,36328,577,
9/19/2015,67352,783,
9/20/2015,96475,1122,
9/21/2015,140188,1108,
9/22/2015,41433,532,
9/23/2015,4628,246,
9/24/2015,3658,234,
9/25/2015,5466,250,
9/26/2015,5709,296,
9/27/2015,7967,393,
9/28/2015,6133,299,
9/29/2015,7302,292,
9/30/2015,6522,282,
10/1/2015,434485,1354,
10/2/2015,70714,1183,
10/3/2015,36493,1734,
10/4/2015,180088,1957,
10/5/2015,71699,1700,
10/6/2015,114334,1570,
10/7/2015,14667,669,
10/8/2015,8299,381,
10/9/2015,8045,401,
10/10/2015,8249,360,
10/11/2015,10108,540,
10/12/2015,10300,532,
10/13/2015,10864,539,
10/14/2015,149775,40488,
10/15/2015,58647,1305,
10/16/2015,22576,876,
10/17/2015,11890,614,
10/18/2015,11237,743,
10/19/2015,7534,427,
10/20/2015,4097,245,
10/21/2015,125849,380,
10/22/2015,59106,832,
10/23/2015,57816,1760,
10/24/2015,106199,2619,
10/25/2015,122302,4747,
10/26/2015,109363,3968,
10/27/2015,38334,1306,
10/28/2015,40836,1445,
10/29/2015,44556,1926,
10/30/2015,31807,1789,
10/31/2015,35083,2428,
11/1/2015,61138,3388,
11/2/2015,35347,1730,
11/3/2015,34922,1249,
11/4/2015,21727,837,
11/5/2015,18007,750,
11/6/2015,14192,717,
11/7/2015,18578,1004,
11/8/2015,16878,1047,
11/9/2015,16567,902,
11/10/2015,12654,701,
11/11/2015,13103,701,
11/12/2015,12253,657,
11/13/2015,14000,740,
11/14/2015,18987,1151,
11/15/2015,24580,1539,
11/16/2015,18837,1099,
11/17/2015,13533,752,
11/18/2015,11535,664,
11/19/2015,101149,614,
11/20/2015,36747,376,
11/21/2015,29485,697,
11/22/2015,36932,770,
11/23/2015,59202,764,
11/24/2015,25679,523,
11/25/2015,23772,671,
11/26/2015,17939,681,
11/27/2015,9223,592,
11/28/2015,9535,587,
11/29/2015,19140,1703,
11/30/2015,11030,649,
12/1/2015,7927,327,
12/2/2015,7683,261,
12/3/2015,10327,557,
12/4/2015,7169,356,
12/5/2015,5786,286,
12/6/2015,21384,329,
12/7/2015,9366,285,
12/8/2015,16785,236,
12/9/2015,22801,1218,
12/10/2015,33715,1895,
12/11/2015,29603,1711,
12/12/2015,30656,1536,
12/13/2015,26133,1390,
12/14/2015,20996,1294,
12/15/2015,17221,1159,
12/16/2015,17411,1017,
12/17/2015,18588,1186,
12/18/2015,21945,815,
12/19/2015,29845,1244,
12/20/2015,135699,1454,
12/21/2015,44393,1827,
12/22/2015,578469,2509,
12/23/2015,551092,3327,
12/24/2015,607372,5720,
12/25/2015,1839886,8645,
12/26/2015,1530961,9432,
12/27/2015,1667047,9696,
12/28/2015,1920089,8412,
12/29/2015,1476521,7496,
12/30/2015,1157442,5870,
12/31/2015,533843,3986,
1/1/2016,45904,1698,
1/2/2016,34158,778,
1/3/2016,22285,1141,
1/4/2016,16796,988,
1/5/2016,13727,1072,
1/6/2016,19188,1434,
1/7/2016,21173,1391,
1/8/2016,20059,1491,
1/9/2016,22612,1687,
1/10/2016,22670,1606,
1/11/2016,18728,1292,
1/12/2016,13125,1091,
1/13/2016,10168,582,
1/14/2016,10177,527,
1/15/2016,9458,522,
1/16/2016,9502,588,
1/17/2016,13913,547,
1/18/2016,12258,530,
1/19/2016,10750,452,
1/20/2016,8553,482,
1/21/2016,578963,1476,
1/22/2016,34831,938,
1/23/2016,174722,2101,
1/24/2016,111523,2039,
1/25/2016,412536,2443,
1/26/2016,833877,2742,
1/27/2016,297247,1477,
1/28/2016,519794,1843,
1/29/2016,95301,1117,
1/30/2016,508441,2282,
1/31/2016,345642,2272,
2/1/2016,238082,1812,
2/2/2016,421016,2241,
2/3/2016,108077,1088,
2/4/2016,97886,973,
2/5/2016,58600,845,
2/6/2016,272876,1319,
2/7/2016,558683,2628,
2/8/2016,52130,920,
2/9/2016,25087,761,
2/10/2016,20319,627,
2/11/2016,18485,613,
2/12/2016,18644,705,
2/13/2016,17161,574,
2/14/2016,34642,884,
2/15/2016,20696,690,
2/16/2016,11521,518,
2/17/2016,9546,469,
2/18/2016,8879,389,
2/19/2016,10000,457,
2/20/2016,13422,462,
2/21/2016,14218,474,
2/22/2016,14380,482,
2/23/2016,9336,441,
2/24/2016,8035,421,
2/25/2016,7236,421,
2/26/2016,9360,446,
2/27/2016,9302,466,
2/28/2016,12253,700,
2/29/2016,10318,622,
3/1/2016,12532,649,
3/2/2016,52070,868,
3/3/2016,58743,804,
3/4/2016,40329,746,
3/5/2016,267738,1539,
3/6/2016,454019,2826,
3/7/2016,492457,2516,
3/8/2016,294374,1877,
3/9/2016,198295,1538,
3/10/2016,220866,1638,
3/11/2016,160235,1401,
3/12/2016,250026,1727,
3/13/2016,252761,1739,
3/14/2016,116735,1090,
3/15/2016,45311,673,
3/16/2016,17994,537,
3/17/2016,12412,511,
3/18/2016,8695,452,
3/19/2016,10329,524,
3/20/2016,10862,541,
3/21/2016,9245,568,
3/22/2016,8661,368,
3/23/2016,6198,350,
3/24/2016,172880,783,
3/25/2016,197745,1032,
3/26/2016,160822,1084,
3/27/2016,462520,2401,
3/28/2016,357722,1710,
3/29/2016,276455,1402,
3/30/2016,55525,624,
3/31/2016,20035,435,
4/1/2016,10982,457,
4/2/2016,8597,417,
4/3/2016,11606,467,
4/4/2016,8741,380,
4/5/2016,5973,400,
4/6/2016,5358,363,
4/7/2016,332325,893,
4/8/2016,116845,752,
4/9/2016,41409,622,
4/10/2016,64725,586,
