Date,Product Page Views,App Units (dls),Avg. Daily Rank
4/1/2015,46812,2300,8
4/2/2015,46133,2188,7
4/3/2015,45043,2122,7
4/4/2015,42727,2434,14
4/5/2015,56048,4021,11
4/6/2015,47186,2724,9
4/7/2015,55290,2946,7
4/8/2015,60300,2812,5
4/9/2015,53327,2384,5.5
4/10/2015,28324,2051,6
4/11/2015,25032,2311,9.5
4/12/2015,30547,2931,9
4/13/2015,34085,2460,7
4/14/2015,42225,1979,4
4/15/2015,36956,1790,4
4/16/2015,41075,2913,5
4/17/2015,82112,5010,2
4/18/2015,78016,3446,2
4/19/2015,55797,3202,3
4/20/2015,47996,2516,3
4/21/2015,45047,1773,3
4/22/2015,39101,1797,4
4/23/2015,27142,1705,6
4/24/2015,24530,1865,7
4/25/2015,22917,2302,11
4/26/2015,23715,2519,11.5
4/27/2015,21724,1804,9
4/28/2015,26325,2157,7
4/29/2015,34862,2238,5
4/30/2015,40625,2368,4
5/1/2015,44721,2173,5
5/2/2015,40710,2362,8
5/3/2015,50767,3330,6.5
5/4/2015,54433,2614,4
5/5/2015,43055,2025,6
5/6/2015,36077,1915,7.5
5/7/2015,31775,1787,9
5/8/2015,23642,1768,9
5/9/2015,29735,2551,11
5/10/2015,36033,3355,9.5
5/11/2015,31203,2294,8
5/12/2015,35600,2393,7
5/13/2015,26009,1886,10
5/14/2015,31337,2664,9
5/15/2015,33782,2290,8
5/16/2015,36460,2378,8
5/17/2015,38149,2529,8
5/18/2015,34149,2049,8
5/19/2015,34971,1798,7
5/20/2015,34620,1711,7
5/21/2015,23721,1565,10
5/22/2015,12278,1385,14
5/23/2015,14914,1789,25
5/24/2015,20933,2236,19
5/25/2015,18917,1987,16
5/26/2015,18111,1584,14
5/27/2015,15021,1385,16
5/28/2015,13295,1509,17
5/29/2015,18509,1674,11
5/30/2015,16969,1865,11
5/31/2015,20133,2207,12
6/1/2015,27836,2244,8
6/2/2015,26184,1810,9
6/3/2015,26131,1923,7.5
6/4/2015,34055,3131,7
6/5/2015,29491,2537,7
6/6/2015,37583,2674,6
6/7/2015,28600,3095,4
6/8/2015,22924,2327,4
6/9/2015,29621,1889,6
6/10/2015,21373,1516,6
6/11/2015,21846,1589,8
6/12/2015,23668,1588,8
6/13/2015,20978,1760,8.5
6/14/2015,24922,2123,8
6/15/2015,23828,2221,8
6/16/2015,24178,1858,8
6/17/2015,21847,1914,12
6/18/2015,25097,2045,9
6/19/2015,20292,1773,10
6/20/2015,19454,1903,13
6/21/2015,28688,2698,13
6/22/2015,38531,2630,6
6/23/2015,42306,2093,5
6/24/2015,35809,1841,5
6/25/2015,27072,1741,7
6/26/2015,31271,1925,8
6/27/2015,32990,2080,7
6/28/2015,38375,2408,7
6/29/2015,37301,2251,7
6/30/2015,35746,1879,7
7/1/2015,31289,1780,10
7/2/2015,35204,2119,7
7/3/2015,25249,2060,11
7/4/2015,27111,2574,11
7/5/2015,31019,2994,9
7/6/2015,32530,2132,6.5
7/7/2015,28242,2170,10
7/8/2015,31132,2019,6
7/9/2015,20824,1853,10.5
7/10/2015,15646,1762,9.5
7/11/2015,17780,1985,8
7/12/2015,19369,2205,8
7/13/2015,20390,1916,8
7/14/2015,17837,1624,9
7/15/2015,20839,3638,7
7/16/2015,40283,4452,4
7/17/2015,54336,5701,4
7/18/2015,43857,5971,6
7/19/2015,51424,5708,5
7/20/2015,50665,5352,5
7/21/2015,44924,3881,5
7/22/2015,42914,4217,4
7/23/2015,44632,3724,4
7/24/2015,42078,3744,3
7/25/2015,37400,3411,4
7/26/2015,38710,3663,4
7/27/2015,36752,3154,4
7/28/2015,36244,2874,4
7/29/2015,36723,2920,5
7/30/2015,40431,2886,5
7/31/2015,48419,1929,5
8/1/2015,36562,1744,7
