date_time,median
2015-01-25,11.0
2015-01-26,11.0
2015-01-27,14.0
2015-01-28,16.0
2015-01-29,17.0
2015-01-30,23.0
2015-01-31,11.0
2015-02-01,10.0
2015-02-02,9.0
2015-02-03,9.0
2015-02-04,9.0
2015-02-05,8.0
2015-02-06,9.0
2015-02-07,13.0
2015-02-08,12.5
2015-02-09,14.0
2015-02-10,21.0
2015-02-11,14.0
2015-02-12,15.0
2015-02-13,18.0
2015-02-14,17.0
2015-02-15,12.5
2015-02-16,12.0
2015-02-17,13.0
2015-02-18,14.0
2015-02-19,14.0
2015-02-20,16.0
2015-02-21,17.0
2015-02-22,19.0
2015-02-23,21.0
2015-02-24,21.0
2015-02-25,16.5
2015-02-26,14.0
2015-02-27,10.0
2015-02-28,11.5
2015-03-01,15.0
2015-03-02,10.0
2015-03-03,7.0
2015-03-04,11.0
2015-03-05,14.0
2015-03-06,16.0
2015-03-07,14.0
2015-03-08,14.0
2015-03-09,9.0
2015-03-10,11.0
2015-03-11,11.0
2015-03-12,13.0
2015-03-13,15.0
2015-03-14,12.0
2015-03-15,11.0
2015-03-16,11.0
2015-03-17,8.0
2015-03-18,9.0
2015-03-19,10.0
2015-03-20,9.0
2015-03-21,11.0
2015-03-22,10.0
2015-03-23,9.0
2015-03-24,7.0
2015-03-25,8.0
2015-03-26,8.5
2015-03-27,12.0
2015-03-28,12.0
2015-03-29,11.0
2015-03-30,11.0
2015-03-31,8.0
2015-04-01,8.0
2015-04-02,7.0
2015-04-03,7.0
2015-04-04,14.0
2015-04-05,11.0
2015-04-06,9.0
2015-04-07,7.0
2015-04-08,5.0
2015-04-09,5.5
2015-04-10,6.0
2015-04-11,9.5
2015-04-12,9.0
2015-04-13,7.0
2015-04-14,4.0
2015-04-15,4.0
2015-04-16,5.0
2015-04-17,2.0
2015-04-18,2.0
2015-04-19,3.0
2015-04-20,3.0
2015-04-21,3.0
2015-04-22,4.0
2015-04-23,6.0
2015-04-24,7.0
2015-04-25,11.0
2015-04-26,11.5
2015-04-27,9.0
2015-04-28,7.0
2015-04-29,5.0
2015-04-30,4.0
2015-05-01,5.0
2015-05-02,8.0
2015-05-03,6.5
2015-05-04,4.0
2015-05-05,6.0
2015-05-06,7.5
2015-05-07,9.0
2015-05-08,9.0
2015-05-09,11.0
2015-05-10,9.5
2015-05-11,8.0
2015-05-12,7.0
2015-05-13,10.0
2015-05-14,9.0
2015-05-15,8.0
2015-05-16,8.0
2015-05-17,8.0
2015-05-18,8.0
2015-05-19,7.0
2015-05-20,7.0
2015-05-21,10.0
2015-05-22,14.0
2015-05-23,25.0
2015-05-24,19.0
2015-05-25,16.0
2015-05-26,14.0
2015-05-27,16.0
2015-05-28,17.0
2015-05-29,11.0
2015-05-30,11.0
2015-05-31,12.0
2015-06-01,8.0
2015-06-02,9.0
2015-06-03,7.5
2015-06-04,7.0
2015-06-05,7.0
2015-06-06,6.0
2015-06-07,4.0
2015-06-08,4.0
2015-06-09,6.0
2015-06-10,6.0
2015-06-11,8.0
2015-06-12,8.0
2015-06-13,8.5
2015-06-14,8.0
2015-06-15,8.0
2015-06-16,8.0
2015-06-17,12.0
2015-06-18,9.0
2015-06-19,10.0
2015-06-20,13.0
2015-06-21,13.0
2015-06-22,6.0
2015-06-23,5.0
2015-06-24,5.0
2015-06-25,7.0
2015-06-26,8.0
2015-06-27,7.0
2015-06-28,7.0
2015-06-29,7.0
2015-06-30,7.0
2015-07-01,10.0
2015-07-02,7.0
2015-07-03,11.0
2015-07-04,11.0
2015-07-05,9.0
2015-07-06,6.5
2015-07-07,10.0
2015-07-08,6.0
2015-07-09,10.5
2015-07-10,9.5
2015-07-11,8.0
2015-07-12,8.0
2015-07-13,8.0
2015-07-14,9.0
2015-07-15,7.0
2015-07-16,4.0
2015-07-17,4.0
2015-07-18,6.0
2015-07-19,5.0
2015-07-20,5.0
2015-07-21,5.0
2015-07-22,4.0
2015-07-23,4.0
2015-07-24,3.0
2015-07-25,4.0
2015-07-26,4.0
2015-07-27,4.0
2015-07-28,4.0
